user_id,age,monthly_income,orders_per_month,avg_order_amount,num_active_bnpl_plans,total_bnpl_amount,average_emi,total_monthly_emi,dti_ratio,bnpl_utilization_ratio,repayment_delay_count,last_payment_delay_days,on_time_repayment_rate,spending_volatility,impulse_purchase_count,risk_label
1,56,164395,1,4146,1,4146,4146.0,4146.0,0.03,0.03,2,2,0.6,0.34,1,Risky
2,46,33019,0,18661,0,0,0.0,0.0,0.0,0.0,0,2,1.0,0.12,4,Low
3,32,90426,2,12926,2,25852,12926.0,25852.0,0.29,0.29,1,3,0.8,0.1,1,Medium
4,25,55863,1,16930,1,16930,16930.0,16930.0,0.3,0.3,1,23,0.8,0.2,1,Medium
5,38,126023,3,16172,0,48516,0.0,0.0,0.0,0.38,0,29,1.0,0.18,2,Medium
6,56,156355,1,16287,1,16287,16287.0,16287.0,0.1,0.1,0,16,1.0,0.02,5,Low
7,36,164351,0,7741,0,0,0.0,0.0,0.0,0.0,0,19,1.0,0.21,1,Medium
8,40,61999,2,3217,2,6434,3217.0,6434.0,0.1,0.1,0,3,1.0,0.48,0,Risky
9,28,77780,3,3886,1,11658,11658.0,11658.0,0.15,0.15,2,12,0.6,0.23,0,Medium
10,28,37908,1,14344,1,14344,14344.0,14344.0,0.38,0.38,1,23,0.8,0.15,4,Medium
11,41,141278,2,9987,2,19974,9987.0,19974.0,0.14,0.14,2,6,0.6,0.47,4,Risky
12,53,128002,1,8293,0,8293,0.0,0.0,0.0,0.06,1,3,0.8,0.25,0,Medium
13,57,196297,3,4006,3,12018,4006.0,12018.0,0.06,0.06,0,27,1.0,0.14,3,Low
14,41,184024,2,7958,2,15916,7958.0,15916.0,0.09,0.09,0,7,1.0,0.39,3,Risky
15,20,115706,1,11581,1,11581,11581.0,11581.0,0.1,0.1,0,10,1.0,0.11,1,Low
16,39,183735,4,5143,2,20572,10286.0,20572.0,0.11,0.11,0,18,1.0,0.12,2,Low
17,19,137019,0,15699,0,0,0.0,0.0,0.0,0.0,0,25,1.0,0.16,1,Medium
18,41,124708,7,18602,1,130214,130214.0,130214.0,1.04,1.04,0,29,1.0,0.2,4,Risky
19,47,194001,2,9018,2,18036,9018.0,18036.0,0.09,0.09,0,6,1.0,0.29,1,Medium
20,55,24343,4,10952,1,43808,43808.0,43808.0,1.8,1.8,0,8,1.0,0.26,1,Risky
21,19,91173,3,9916,1,29748,29748.0,29748.0,0.33,0.33,0,21,1.0,0.37,3,Risky
22,38,115260,3,18728,3,56184,18728.0,56184.0,0.49,0.49,0,3,1.0,0.36,0,Risky
23,50,185863,6,1137,2,6822,3411.0,6822.0,0.04,0.04,0,3,1.0,0.02,1,Low
24,29,175206,1,15156,1,15156,15156.0,15156.0,0.09,0.09,0,0,1.0,0.07,4,Low
25,39,193173,0,14381,0,0,0.0,0.0,0.0,0.0,0,5,1.0,0.11,4,Low
26,42,84443,3,14893,3,44679,14893.0,44679.0,0.53,0.53,0,2,1.0,0.3,1,Risky
27,44,72530,1,17360,1,17360,17360.0,17360.0,0.24,0.24,0,2,1.0,0.45,6,Risky
28,59,192871,0,1058,0,0,0.0,0.0,0.0,0.0,0,0,1.0,0.16,2,Medium
29,45,150899,0,18154,0,0,0.0,0.0,0.0,0.0,0,6,1.0,0.48,1,Risky
30,33,111143,1,1388,0,1388,0.0,0.0,0.0,0.01,3,8,0.4,0.09,2,Risky
31,32,159771,3,13116,3,39348,13116.0,39348.0,0.25,0.25,0,2,1.0,0.46,3,Risky
32,20,129527,5,8012,0,40060,0.0,0.0,0.0,0.31,4,22,0.2,0.4,3,Risky
33,54,151385,1,13626,1,13626,13626.0,13626.0,0.09,0.09,0,24,1.0,0.19,2,Medium
34,24,159670,4,5852,1,23408,23408.0,23408.0,0.15,0.15,0,14,1.0,0.1,1,Low
35,38,126362,3,17979,3,53937,17979.0,53937.0,0.43,0.43,1,29,0.8,0.2,1,Medium
36,26,43807,2,9627,2,19254,9627.0,19254.0,0.44,0.44,1,2,0.8,0.11,2,Medium
37,56,191298,2,2982,1,5964,5964.0,5964.0,0.03,0.03,0,24,1.0,0.28,3,Medium
38,35,74550,1,15816,1,15816,15816.0,15816.0,0.21,0.21,0,10,1.0,0.29,3,Medium
39,21,18558,3,12060,2,36180,18090.0,36180.0,1.95,1.95,1,17,0.8,0.38,2,Risky
40,42,65113,3,13401,2,40203,20101.5,40203.0,0.62,0.62,0,2,1.0,0.26,4,Risky
41,31,67999,6,11411,3,68466,22822.0,68466.0,1.01,1.01,0,26,1.0,0.17,1,Risky
42,26,182415,2,9209,1,18418,18418.0,18418.0,0.1,0.1,3,19,0.4,0.46,2,Risky
43,43,73219,2,6429,2,12858,6429.0,12858.0,0.18,0.18,0,29,1.0,0.04,2,Low
44,19,181258,2,13158,2,26316,13158.0,26316.0,0.15,0.15,0,6,1.0,0.4,2,Risky
45,37,183038,2,19076,2,38152,19076.0,38152.0,0.21,0.21,0,26,1.0,0.2,2,Medium
46,45,179841,3,5376,2,16128,8064.0,16128.0,0.09,0.09,0,8,1.0,0.09,1,Low
47,24,68218,3,19079,2,57237,28618.5,57237.0,0.84,0.84,1,28,0.8,0.06,1,Risky
48,25,34229,2,14978,2,29956,14978.0,29956.0,0.88,0.88,0,16,1.0,0.11,2,Risky
49,52,90209,3,18970,1,56910,56910.0,56910.0,0.63,0.63,0,27,1.0,0.06,3,Risky
50,31,42877,2,13705,1,27410,27410.0,27410.0,0.64,0.64,0,8,1.0,0.23,3,Risky
51,34,112137,1,11861,1,11861,11861.0,11861.0,0.11,0.11,0,9,1.0,0.17,2,Medium
52,53,53084,1,8965,1,8965,8965.0,8965.0,0.17,0.17,4,12,0.2,0.18,1,Risky
53,57,96780,2,19652,2,39304,19652.0,39304.0,0.41,0.41,0,4,1.0,0.08,2,Medium
54,21,162878,1,11248,1,11248,11248.0,11248.0,0.07,0.07,0,30,1.0,0.33,6,Risky
55,19,52034,3,15220,0,45660,0.0,0.0,0.0,0.88,0,13,1.0,0.3,2,Risky
56,23,186389,3,8461,2,25383,12691.5,25383.0,0.14,0.14,0,3,1.0,0.49,4,Risky
57,59,70468,1,13821,1,13821,13821.0,13821.0,0.2,0.2,3,13,0.4,0.08,5,Risky
58,21,165166,4,14410,0,57640,0.0,0.0,0.0,0.35,0,28,1.0,0.42,2,Risky
59,46,25589,4,2405,4,9620,2405.0,9620.0,0.38,0.38,1,10,0.8,0.02,0,Medium
60,35,72221,2,12179,0,24358,0.0,0.0,0.0,0.34,0,27,1.0,0.04,2,Low
61,43,16657,2,4575,2,9150,4575.0,9150.0,0.55,0.55,1,21,0.8,0.32,6,Risky
62,51,113300,5,3727,1,18635,18635.0,18635.0,0.16,0.16,2,9,0.6,0.2,2,Medium
63,27,132229,2,7487,2,14974,7487.0,14974.0,0.11,0.11,0,4,1.0,0.12,4,Low
64,53,54531,5,15760,1,78800,78800.0,78800.0,1.45,1.45,0,20,1.0,0.0,1,Risky
65,31,67227,3,7291,2,21873,10936.5,21873.0,0.33,0.33,0,11,1.0,0.33,2,Risky
66,48,18164,3,3501,1,10503,10503.0,10503.0,0.58,0.58,0,20,1.0,0.22,1,Risky
67,32,108078,1,18321,1,18321,18321.0,18321.0,0.17,0.17,0,14,1.0,0.09,2,Low
68,25,56247,3,11272,2,33816,16908.0,33816.0,0.6,0.6,3,23,0.4,0.49,3,Risky
69,31,165673,0,2755,0,0,0.0,0.0,0.0,0.0,0,12,1.0,0.18,2,Medium
70,40,65599,3,4390,3,13170,4390.0,13170.0,0.2,0.2,1,25,0.8,0.15,2,Medium
71,57,150624,1,6816,1,6816,6816.0,6816.0,0.05,0.05,0,7,1.0,0.26,1,Medium
72,38,155489,0,18600,0,0,0.0,0.0,0.0,0.0,0,25,1.0,0.14,4,Low
73,33,83207,1,18587,1,18587,18587.0,18587.0,0.22,0.22,1,3,0.8,0.14,5,Medium
74,35,87055,5,2890,3,14450,4816.67,14450.0,0.17,0.17,3,12,0.4,0.48,0,Risky
75,41,117266,0,12223,0,0,0.0,0.0,0.0,0.0,0,29,1.0,0.13,2,Low
76,43,93270,3,14829,3,44487,14829.0,44487.0,0.48,0.48,0,14,1.0,0.3,3,Risky
77,42,126426,1,8688,1,8688,8688.0,8688.0,0.07,0.07,1,8,0.8,0.02,2,Medium
78,58,149794,2,7500,2,15000,7500.0,15000.0,0.1,0.1,1,23,0.8,0.08,0,Medium
79,46,85442,3,7716,0,23148,0.0,0.0,0.0,0.27,2,27,0.6,0.01,4,Medium
80,32,110632,4,4746,3,18984,6328.0,18984.0,0.17,0.17,0,5,1.0,0.27,6,Medium
81,18,186103,0,19579,0,0,0.0,0.0,0.0,0.0,1,17,0.8,0.25,3,Medium
82,42,36438,1,14014,1,14014,14014.0,14014.0,0.38,0.38,0,8,1.0,0.17,1,Medium
83,24,73819,4,16675,2,66700,33350.0,66700.0,0.9,0.9,0,21,1.0,0.35,0,Risky
84,26,58856,1,10193,1,10193,10193.0,10193.0,0.17,0.17,0,23,1.0,0.31,1,Risky
85,41,179648,4,4629,4,18516,4629.0,18516.0,0.1,0.1,0,5,1.0,0.3,4,Risky
86,18,56938,5,8766,3,43830,14610.0,43830.0,0.77,0.77,3,20,0.4,0.17,1,Risky
87,25,195100,1,7147,1,7147,7147.0,7147.0,0.04,0.04,0,6,1.0,0.16,3,Medium
88,41,74807,2,16113,0,32226,0.0,0.0,0.0,0.43,0,11,1.0,0.44,1,Risky
89,28,64877,3,15442,1,46326,46326.0,46326.0,0.71,0.71,1,3,0.8,0.27,0,Risky
90,34,58461,1,15410,1,15410,15410.0,15410.0,0.26,0.26,1,25,0.8,0.14,1,Medium
91,25,108474,3,2063,2,6189,3094.5,6189.0,0.06,0.06,0,10,1.0,0.27,3,Medium
92,52,186541,2,9830,2,19660,9830.0,19660.0,0.11,0.11,0,2,1.0,0.13,3,Low
93,52,98136,3,11934,3,35802,11934.0,35802.0,0.36,0.36,0,26,1.0,0.09,1,Medium
94,50,35435,1,10334,1,10334,10334.0,10334.0,0.29,0.29,0,27,1.0,0.14,2,Low
95,22,160263,0,11312,0,0,0.0,0.0,0.0,0.0,5,30,0.0,0.31,0,Risky
96,59,99726,3,4275,0,12825,0.0,0.0,0.0,0.13,0,6,1.0,0.26,0,Medium
97,56,173458,0,1976,0,0,0.0,0.0,0.0,0.0,2,1,0.6,0.08,0,Medium
98,58,177793,1,13383,1,13383,13383.0,13383.0,0.08,0.08,0,9,1.0,0.45,0,Risky
99,45,69786,0,12406,0,0,0.0,0.0,0.0,0.0,1,2,0.8,0.25,1,Medium
100,24,28704,2,12739,2,25478,12739.0,25478.0,0.89,0.89,0,16,1.0,0.4,1,Risky
101,26,71635,1,5069,1,5069,5069.0,5069.0,0.07,0.07,0,10,1.0,0.17,1,Medium
102,25,148195,1,16604,1,16604,16604.0,16604.0,0.11,0.11,1,27,0.8,0.48,5,Risky
103,29,105710,1,15612,1,15612,15612.0,15612.0,0.15,0.15,0,0,1.0,0.38,0,Risky
104,51,77993,0,17334,0,0,0.0,0.0,0.0,0.0,1,1,0.8,0.23,2,Medium
105,50,127752,1,7402,1,7402,7402.0,7402.0,0.06,0.06,0,12,1.0,0.45,3,Risky
106,40,171488,0,13333,0,0,0.0,0.0,0.0,0.0,2,13,0.6,0.36,2,Risky
107,41,147886,2,1345,2,2690,1345.0,2690.0,0.02,0.02,4,16,0.2,0.22,0,Risky
108,54,93537,3,5942,3,17826,5942.0,17826.0,0.19,0.19,1,30,0.8,0.49,3,Risky
109,52,65258,2,18460,1,36920,36920.0,36920.0,0.57,0.57,0,1,1.0,0.15,5,Risky
110,57,162580,3,10363,2,31089,15544.5,31089.0,0.19,0.19,0,16,1.0,0.13,3,Low
111,39,100166,2,4770,1,9540,9540.0,9540.0,0.1,0.1,1,18,0.8,0.45,3,Risky
112,44,128710,1,12353,1,12353,12353.0,12353.0,0.1,0.1,3,24,0.4,0.35,2,Risky
113,52,50699,3,9424,3,28272,9424.0,28272.0,0.56,0.56,0,8,1.0,0.17,4,Risky
114,18,61335,0,12990,0,0,0.0,0.0,0.0,0.0,1,23,0.8,0.12,4,Medium
115,52,61806,0,9048,0,0,0.0,0.0,0.0,0.0,0,24,1.0,0.09,2,Low
116,54,92853,1,13099,0,13099,0.0,0.0,0.0,0.14,1,11,0.8,0.16,2,Medium
117,31,50739,4,12891,4,51564,12891.0,51564.0,1.02,1.02,2,29,0.6,0.06,4,Risky
118,20,49785,4,16573,2,66292,33146.0,66292.0,1.33,1.33,2,15,0.6,0.07,5,Risky
119,18,178052,0,17834,0,0,0.0,0.0,0.0,0.0,1,3,0.8,0.39,2,Risky
120,22,100016,7,10554,2,73878,36939.0,73878.0,0.74,0.74,0,29,1.0,0.03,2,Risky
121,43,147681,3,1350,3,4050,1350.0,4050.0,0.03,0.03,2,23,0.6,0.22,3,Medium
122,31,81253,3,10500,3,31500,10500.0,31500.0,0.39,0.39,0,10,1.0,0.2,3,Medium
123,56,106128,4,5004,1,20016,20016.0,20016.0,0.19,0.19,0,20,1.0,0.48,2,Risky
124,44,174213,2,12117,1,24234,24234.0,24234.0,0.14,0.14,3,19,0.4,0.23,2,Risky
125,26,176081,3,17628,1,52884,52884.0,52884.0,0.3,0.3,0,28,1.0,0.08,3,Medium
126,32,142581,1,14015,1,14015,14015.0,14015.0,0.1,0.1,1,3,0.8,0.04,3,Medium
127,32,125966,3,5734,3,17202,5734.0,17202.0,0.14,0.14,0,1,1.0,0.37,3,Risky
