monthly_income,num_active_bnpl_plans,total_bnpl_amount,average_emi,bnpl_income_ratio,Financial_Stress,Emi_delayed
33019,0,0,0.0,0.0,Low Risk,0
90426,2,25852,12926.0,0.14294561298741512,Low Risk,0
55863,1,16930,16930.0,0.3030628501870648,Medium Risk,1
156355,1,16287,16287.0,0.10416679991046017,Low Risk,0
164351,0,0,0.0,0.0,Low Risk,0
61999,2,6434,3217.0,0.05188793367634962,Low Risk,0
77780,1,11658,11658.0,0.1498842890203137,Low Risk,0
141278,2,19974,9987.0,0.07069041181217174,Low Risk,0
196297,3,12018,4006.0,0.02040785136808,Low Risk,0
184024,2,15916,7958.0,0.04324435943137852,Low Risk,0
115706,1,11581,11581.0,0.10008988297927505,Low Risk,0
183735,2,20572,10286.0,0.05598280131711432,Low Risk,0
137019,0,0,0.0,0.0,Low Risk,0
194001,2,18036,9018.0,0.0464842964726986,Low Risk,0
91173,1,29748,29748.0,0.3262808068178079,Medium Risk,1
115260,3,56184,18728.0,0.1624848169356238,Low Risk,0
185863,2,6822,3411.0,0.01835222717808278,Low Risk,0
193173,0,0,0.0,0.0,Low Risk,0
84443,3,44679,14893.0,0.17636749049654796,Low Risk,0
192871,0,0,0.0,0.0,Low Risk,0
150899,0,0,0.0,0.0,Low Risk,0
159771,3,39348,13116.0,0.08209249488330173,Low Risk,0
151385,1,13626,13626.0,0.09000891766027017,Low Risk,0
159670,1,23408,23408.0,0.14660236738272686,Low Risk,0
126362,3,53937,17979.0,0.14228169861192447,Low Risk,0
43807,2,19254,9627.0,0.219759399182779,Risky,1
191298,1,5964,5964.0,0.031176489038045353,Low Risk,0
18558,2,36180,18090.0,0.9747817652764307,Risky,1
65113,2,40203,20101.5,0.3087171532566461,Medium Risk,1
67999,3,68466,22822.0,0.33562258268503947,Medium Risk,1
182415,1,18418,18418.0,0.10096757393854672,Low Risk,0
73219,2,12858,6429.0,0.08780507791693413,Low Risk,0
181258,2,26316,13158.0,0.07259265797923402,Low Risk,0
183038,2,38152,19076.0,0.10421879609698532,Low Risk,0
179841,2,16128,8064.0,0.04483960832068327,Low Risk,0
68218,2,57237,28618.5,0.4195153771731801,Medium Risk,1
34229,2,29956,14978.0,0.4375821671681907,Medium Risk,1
90209,1,56910,56910.0,0.6308683169085124,Risky,1
112137,1,11861,11861.0,0.10577240339941321,Low Risk,0
53084,1,8965,8965.0,0.16888327933087183,Low Risk,0
96780,2,39304,19652.0,0.20305848315767722,Low Risk,1
162878,1,11248,11248.0,0.06905782241923403,Low Risk,0
186389,2,25383,12691.5,0.06809146462505834,Low Risk,0
25589,4,9620,2405.0,0.09398569697917074,Low Risk,0
16657,2,9150,4575.0,0.2746593023953893,Risky,1
113300,1,18635,18635.0,0.1644748455428067,Low Risk,0
132229,2,14974,7487.0,0.05662146730293657,Low Risk,0
67227,2,21873,10936.5,0.16268017314471864,Low Risk,0
18164,1,10503,10503.0,0.578231667033693,Medium Risk,1
108078,1,18321,18321.0,0.16951646033420306,Low Risk,0
56247,2,33816,16908.0,0.30060269881060325,Medium Risk,1
165673,0,0,0.0,0.0,Low Risk,0
65599,3,13170,4390.0,0.06692175185597342,Low Risk,0
150624,1,6816,6816.0,0.04525175270873168,Low Risk,0
155489,0,0,0.0,0.0,Low Risk,0
83207,1,18587,18587.0,0.22338264809451128,Risky,1
87055,3,14450,4816.67,0.05532904485669979,Low Risk,0
117266,0,0,0.0,0.0,Low Risk,0
93270,3,44487,14829.0,0.15899002894821487,Low Risk,0
126426,1,8688,8688.0,0.0687200417635613,Low Risk,0
