Churn,Tenure,City_Tier,Service_Score,Account_user_count,account_segment,Complain_ly,Day_Since_CC_connect,cashback
0,10.0,1.0,3.0,4.0,0.0,0.0,3.0,205.0
0,16.0,1.0,3.0,5.0,4.0,0.0,8.0,171.0
0,4.0,1.0,3.0,4.0,4.0,0.0,8.0,166.0
0,8.0,1.0,2.0,3.0,4.0,1.0,1.0,148.0
0,9.0,1.0,3.0,3.0,0.0,0.0,7.0,172.0
0,8.0,1.0,2.0,1.0,4.0,0.0,10.0,152.0
0,19.0,3.0,2.0,4.0,4.0,1.0,4.0,180.0
1,9.0,1.0,3.0,5.0,4.0,0.0,9.0,170.0
0,19.0,1.0,4.0,5.0,6.0,0.0,9.0,300.0
1,0.0,1.0,2.0,3.0,3.0,1.0,7.0,1918.0
0,14.0,3.0,3.0,6.0,0.0,0.0,2.0,234.0
0,2.0,3.0,3.0,4.0,4.0,1.0,8.0,195.0
1,99.0,3.0,2.0,3.0,4.0,1.0,2.0,199.0
0,11.0,1.0,3.0,5.0,0.0,0.0,11.0,237.0
0,17.0,1.0,2.0,3.0,3.0,1.0,2.0,124.0
0,16.0,2.0,3.0,4.0,6.0,0.0,10.0,293.0
0,19.0,3.0,3.0,5.0,6.0,1.0,7.0,270.0
0,14.0,1.0,4.0,5.0,6.0,0.0,12.0,260.0
0,13.0,3.0,3.0,4.0,0.0,0.0,0.0,204.0
0,14.0,1.0,4.0,4.0,4.0,0.0,9.0,172.0
0,10.0,3.0,3.0,4.0,4.0,0.0,1.0,194.0
0,14.0,3.0,4.0,4.0,4.0,0.0,1.0,169.0
0,8.0,1.0,3.0,3.0,4.0,0.0,0.0,151.0
0,18.0,3.0,2.0,5.0,4.0,0.0,1.0,173.0
0,9.0,1.0,3.0,3.0,4.0,0.0,2.0,151.0
0,2.0,1.0,3.0,4.0,3.0,0.0,4.0,145.0
0,8.0,2.0,3.0,4.0,3.0,1.0,8.0,148.0
1,1.0,3.0,3.0,5.0,0.0,0.0,11.0,205.0
0,11.0,3.0,3.0,4.0,0.0,1.0,10.0,202.0
0,0.0,3.0,1.0,4.0,3.0,0.0,0.0,130.0
0,12.0,3.0,4.0,5.0,0.0,1.0,8.0,214.0
0,6.0,2.0,2.0,3.0,3.0,0.0,4.0,1920.0
0,2.0,1.0,2.0,5.0,4.0,0.0,7.0,197.0
0,9.0,1.0,3.0,3.0,2.0,0.0,2.0,125.0
0,24.0,1.0,4.0,5.0,0.0,0.0,4.0,232.0
0,12.0,1.0,2.0,4.0,0.0,1.0,8.0,209.0
1,0.0,1.0,2.0,3.0,3.0,1.0,7.0,124.0
0,20.0,1.0,3.0,3.0,4.0,0.0,7.0,155.0
0,4.0,1.0,4.0,4.0,3.0,0.0,5.0,151.0
0,26.0,1.0,4.0,4.0,4.0,1.0,10.0,186.0
0,5.0,3.0,4.0,2.0,3.0,0.0,3.0,156.0
0,10.0,1.0,3.0,4.0,3.0,0.0,3.0,146.0
0,1.0,1.0,3.0,5.0,4.0,1.0,4.0,153.0
0,26.0,1.0,3.0,5.0,3.0,0.0,3.0,158.0
0,23.0,1.0,3.0,4.0,1.0,0.0,4.0,317.0
0,1.0,1.0,3.0,5.0,4.0,0.0,3.0,178.0
0,9.0,1.0,4.0,6.0,3.0,0.0,2.0,155.0
0,9.0,2.0,3.0,4.0,3.0,0.0,3.0,129.0
1,0.0,3.0,3.0,4.0,4.0,0.0,7.0,199.0
0,13.0,1.0,2.0,1.0,3.0,1.0,7.0,126.0
0,5.0,1.0,3.0,4.0,3.0,0.0,1.0,1961.0
0,27.0,1.0,2.0,3.0,4.0,0.0,0.0,144.0
0,4.0,3.0,4.0,5.0,0.0,0.0,8.0,197.0
0,2.0,1.0,3.0,3.0,4.0,0.0,1.0,143.0
0,3.0,3.0,3.0,3.0,4.0,0.0,2.0,153.0
0,7.0,1.0,3.0,3.0,3.0,0.0,2.0,123.0
0,5.0,1.0,3.0,3.0,4.0,0.0,2.0,141.0
0,13.0,1.0,3.0,5.0,1.0,0.0,4.0,318.0
0,13.0,1.0,2.0,4.0,4.0,0.0,0.0,151.0
1,13.0,3.0,2.0,3.0,4.0,1.0,0.0,152.0
0,18.0,1.0,3.0,4.0,0.0,0.0,4.0,211.0
0,15.0,3.0,3.0,3.0,4.0,1.0,0.0,153.0
0,2.0,1.0,3.0,2.0,0.0,0.0,2.0,225.0
0,5.0,1.0,3.0,4.0,3.0,0.0,2.0,138.0
0,1.0,1.0,4.0,5.0,3.0,0.0,4.0,149.0
0,1.0,3.0,4.0,5.0,4.0,1.0,5.0,183.0
0,17.0,1.0,2.0,3.0,4.0,0.0,17.0,145.0
0,7.0,3.0,3.0,4.0,4.0,0.0,4.0,176.0
0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,148.0
0,3.0,1.0,3.0,3.0,3.0,0.0,0.0,121.0
0,16.0,1.0,4.0,5.0,1.0,0.0,2.0,321.0
0,5.0,3.0,3.0,4.0,4.0,0.0,3.0,208.0
1,1.0,1.0,4.0,5.0,3.0,1.0,1.0,196.24
1,0.0,3.0,2.0,5.0,4.0,0.0,3.0,167.0
0,9.0,1.0,3.0,1.0,4.0,1.0,2.0,156.0
0,9.0,1.0,4.0,6.0,3.0,0.0,2.0,158.0
0,1.0,1.0,4.0,4.0,6.0,1.0,11.0,300.0
1,0.0,3.0,2.0,5.0,3.0,0.0,0.0,114.0
0,31.0,1.0,4.0,5.0,3.0,1.0,1.0,196.24
0,14.0,1.0,2.0,4.0,6.0,0.0,10.0,241.0
0,13.0,1.0,3.0,4.0,0.0,1.0,9.0,239.0
